Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
85,"Pavel Datsyuk",DET,C,35,63," "," "," "," ",26,39,12,165,5,24,0,51,601
86,"Brent Seabrook",CHI,D,35,82," "," "," "," ",8,23,-3,181,2,15,1,135,0
87,"Dougie Hamilton",CGY,D,35,72," "," "," "," ",10,32,-3,188,2,15,0,106,0
88,"Zach Parise",MIN,LW,35,74," "," "," "," ",33,29,21,259,3,16,0,86,2
89,"Jaden Schwartz",STL,LW,35,75," "," "," "," ",28,35,13,184,4,16,2,54,68
90,"Filip Forsberg",NSH,C,34,82," "," "," "," ",26,37,15,237,6,19,0,108,3
91,"Tyson Barrie",COL,D,33,80," "," "," "," ",12,41,5,139,0,16,0,80,0
92,"Jack Johnson",CBJ,D,32,79," "," "," "," ",8,32,-13,141,1,21,0,157,0
93,"Tyler Toffoli",LAK,C,32,76," "," "," "," ",23,26,25,200,3,5,6,86,4
94,"Tomas Tatar",DET,LW,31,82," "," "," "," ",29,27,6,211,7,19,0,90,6
95,"Anze Kopitar",LAK,C,31,79," "," "," "," ",16,48,-2,134,4,24,0,105,752
96,"Anton Stralman",TBL,D,31,82," "," "," "," ",9,30,22,138,0,14,0,104,0
97,"Alex Pietrangelo",STL,D,31,81," "," "," "," ",7,39,-2,195,2,12,0,70,0
98,"Torey Krug",BOS,D,30,78," "," "," "," ",12,27,13,205,0,14,0,75,0
99,"David Savard",CBJ,D,30,82," "," "," "," ",11,25,0,112,3,10,0,195,1
100,"Travis Hamonic",NYI,D,30,71," "," "," "," ",5,28,15,132,0,8,0,213,0
101,"Jiri Hudler",CGY,LW,28,78," "," "," "," ",31,45,17,158,5,16,0,27,21
102,"Michael Frolik",CGY,RW,28,82," "," "," "," ",19,23,4,206,4,7,3,63,14
103,"Alexander Edler",VAN,D,28,74," "," "," "," ",8,23,13,175,2,14,0,94,0
104,"Phil Kessel",PIT,RW,28,82," "," "," "," ",25,36,-34,280,4,25,0,18,2
105,"Cal Clutterbuck",NYI,RW,27,76," "," "," "," ",7,9,1,124,4,1,3,343,6
106,"Niklas Kronwall",DET,D,26,80," "," "," "," ",9,35,-4,101,1,23,0,91,1
107,"Nick Leddy",NYI,D,26,78," "," "," "," ",10,27,18,120,1,12,1,73,0
108,"Michael Del Zotto",PHI,D,24,64," "," "," "," ",10,22,-5,119,4,8,1,153,0
109,"Frederik Andersen",ANA,G,24,55,3,0.914,2.38,35," "," "," "," "," "," "," "," "," "
110,"Jarome Iginla",COL,RW,24,82," "," "," "," ",29,30,0,189,2,13,0,99,57
111,"Sami Vatanen",ANA,D,24,67," "," "," "," ",12,25,5,122,1,17,1,75,1
112,"Derick Brassard",NYR,C,24,80," "," "," "," ",19,41,9,168,3,18,0,106,671
113,"Ryan Suter",MIN,D,23,77," "," "," "," ",2,36,7,150,1,11,1,69,0
114,"Chris Kunitz",PIT,LW,23,74," "," "," "," ",17,23,2,170,5,16,1,211,7
115,"Cody Franson",BUF,D,22,78," "," "," "," ",7,29,-7,127,0,17,0,177,0
116,"Evgeni Malkin",PIT,C,22,69," "," "," "," ",28,42,-2,212,4,26,0,24,322
117,"Dion Phaneuf",TOR,D,21,70," "," "," "," ",3,26,-11,138,1,15,1,166,0
118,"Gabriel Landeskog",COL,LW,21,82," "," "," "," ",23,36,-2,214,2,17,0,169,16
119,"Cam Atkinson",CBJ,RW,21,78," "," "," "," ",22,18,-2,212,7,10,1,55,4
120,"Jordan Eberle",EDM,RW,20,81," "," "," "," ",24,39,-16,183,2,21,0,62,1
121,"Scott Hartnell",CBJ,LW,19,77," "," "," "," ",28,32,1,204,2,16,0,160,7
122,"Mats Zuccarello",NYR,RW,18,78," "," "," "," ",15,34,17,154,3,6,0,120,16
123,"Chris Kreider",NYR,LW,17,80," "," "," "," ",21,25,24,180,5,8,0,162,9
124,"Jason Garrison",TBL,D,17,70," "," "," "," ",4,26,27,111,3,11,0,46,0
125,"Matt Niskanen",WSH,D,17,82," "," "," "," ",4,27,7,117,0,10,1,143,0
126,"Semyon Varlamov",COL,G,16,57,5,0.921,2.59,28," "," "," "," "," "," "," "," "," "
127,"Roberto Luongo",FLA,G,16,61,3,0.921,2.39,28," "," "," "," "," "," "," "," "," "
128,"Nino Niederreiter",MIN,RW,16,80," "," "," "," ",24,13,2,149,5,8,1,155,2
129,"Dan Girardi",NYR,D,16,82," "," "," "," ",4,16,12,111,1,3,1,224,0
130,"Corey Perry",ANA,RW,16,67," "," "," "," ",33,22,13,193,3,7,0,64,3
131,"Alex Goligoski",DAL,D,16,81," "," "," "," ",4,32,0,122,0,8,2,100,0
132,"Milan Lucic",LAK,LW,15,81," "," "," "," ",18,26,13,141,4,8,0,259,34
133,"Frans Nielsen",NYI,C,15,78," "," "," "," ",14,29,8,157,4,18,3,48,506
134,"Antti Raanta",NYR,G,13,15,2,0.936,1.89,7," "," "," "," "," "," "," "," "," "
135,"Johnny Gaudreau",CGY,LW,13,80," "," "," "," ",24,40,11,167,4,21,0,14,3
136,"James Wisniewski",CAR,D,13,69," "," "," "," ",8,26,-13,147,2,15,0,115,0
137,"Henrik Sedin",VAN,C,12,82," "," "," "," ",18,55,11,101,0,25,0,25,704
