Rank,Player,Team,Position,"FHG Value","Games Played",SO,SV%,GAA,W,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
288,"Adam Henrique",NJD,C,-32,75," "," "," "," ",16,27,-6,127,3,16,1,59,270
289,"Luke Schenn",PHI,D,-33,58," "," "," "," ",3,11,-2,67,0,0,0,194,0
290,"Zach Redmond",COL,D,-33,59," "," "," "," ",5,15,-1,93,1,6,0,59,0
291,"Matt Greene",LAK,D,-33,82," "," "," "," ",3,6,1,69,0,0,0,209,0
292,"Patrick Eaves",DAL,RW,-33,47," "," "," "," ",14,13,12,91,2,9,0,69,2
293,"Mattias Ekholm",NSH,D,-34,80," "," "," "," ",7,11,12,86,1,2,0,57,0
294,"Toby Enstrom",WPG,D,-34,60," "," "," "," ",4,19,13,58,0,7,0,27,0
295,"Jan Hejda",COL,D,-34,81," "," "," "," ",1,12,-12,84,0,0,1,170,0
296,"Dan Hamhuis",VAN,D,-34,59," "," "," "," ",1,22,0,82,0,3,0,82,0
297,"Charlie Coyle",MIN,C,-34,82," "," "," "," ",11,24,13,120,4,3,0,137,334
298,"Lars Eller",MTL,C,-35,77," "," "," "," ",15,12,-6,150,7,2,2,76,405
299,"Jonathan Huberdeau",FLA,C,-35,79," "," "," "," ",15,39,10,169,0,12,0,68,2
300,"Jake Gardiner",TOR,D,-35,79," "," "," "," ",4,20,-23,100,0,8,0,109,0
301,"Erik Cole",DET,LW,-35,68," "," "," "," ",21,18,2,122,0,9,1,134,5
302,"Kris Versteeg",CAR,RW,-35,61," "," "," "," ",14,20,11,134,1,5,0,31,15
303,"Alex Galchenyuk",MTL,C,-36,80," "," "," "," ",20,26,8,163,1,12,0,91,82
304,"Steve Downie",ARI,RW,-36,72," "," "," "," ",14,14,2,104,2,5,0,108,4
305,"Michael Raffl",PHI,LW,-36,67," "," "," "," ",21,7,6,134,2,2,1,172,44
306,"Ian Cole",PIT,D,-36,74," "," "," "," ",5,12,14,83,0,1,0,73,0
307,"Paul Martin",SJS,D,-37,74," "," "," "," ",3,17,17,61,0,1,0,60,0
308,"Lee Stempniak",WPG,RW,-37,71," "," "," "," ",15,13,8,115,3,1,0,78,12
309,"Matt Irwin",BOS,D,-37,53," "," "," "," ",8,11,3,93,1,3,0,55,0
310,"John-Michael Liles",CAR,D,-37,57," "," "," "," ",2,20,-9,90,0,7,0,71,0
311,"Bryan Bickell",CHI,LW,-37,80," "," "," "," ",14,14,5,113,3,3,0,205,0
312,"Brad Stuart",COL,D,-38,65," "," "," "," ",3,10,-4,64,0,1,0,177,1
313,"Nick Schultz",PHI,D,-38,80," "," "," "," ",2,13,2,69,1,1,0,113,0
314,"Jonathan Ericsson",DET,D,-38,82," "," "," "," ",3,12,-5,82,0,0,1,114,0
315,"Leo Komarov",TOR,C,-38,62," "," "," "," ",8,18,0,84,1,1,3,250,95
316,"Clarke MacArthur",OTT,LW,-38,62," "," "," "," ",16,20,-6,140,5,10,0,70,8
317,"Luca Sbisa",VAN,D,-38,76," "," "," "," ",3,8,-8,79,2,0,0,151,0
318,"Matt Martin",NYI,LW,-39,78," "," "," "," ",8,6,-4,90,2,0,0,382,5
319,"Chris Stewart",ANA,RW,-39,81," "," "," "," ",14,22,-26,155,0,10,0,110,10
320,"Alex Burrows",VAN,LW,-39,70," "," "," "," ",18,15,0,145,3,8,1,73,6
321,"Patrick Wiercioch",OTT,D,-39,56," "," "," "," ",3,10,3,79,2,5,0,50,0
322,"Nikita Zadorov",COL,D,-40,60," "," "," "," ",3,12,-10,52,1,5,0,134,1
323,"Evander Kane",BUF,LW,-40,37," "," "," "," ",10,12,-1,126,1,6,3,119,30
324,"Alex Chiasson",OTT,RW,-40,76," "," "," "," ",11,15,-5,105,1,6,1,93,3
325,"Rasmus Ristolainen",BUF,D,-40,78," "," "," "," ",8,12,-32,121,0,9,0,118,1
326,"Matt Hunwick",TOR,D,-40,55," "," "," "," ",2,9,17,72,1,2,0,55,0
327,"Marc Methot",OTT,D,-40,45," "," "," "," ",1,10,22,49,0,0,0,94,0
328,"David Jones",CGY,RW,-41,67," "," "," "," ",14,16,-3,114,1,2,0,125,15
329,"Stephane Robidas",TOR,D,-41,52," "," "," "," ",1,6,8,34,0,0,1,141,0
330,"Nail Yakupov",EDM,RW,-41,81," "," "," "," ",14,19,-35,191,1,10,0,97,0
331,"Lubomir Visnovsky",NYI,D,-41,53," "," "," "," ",5,15,-3,85,1,5,0,38,0
332,"Mathieu Perreault",WPG,C,-42,62," "," "," "," ",18,23,7,129,2,12,0,78,226
333,"Brad Richards",DET,C,-42,76," "," "," "," ",12,25,3,199,3,7,0,32,399
334,"Nicklas Grossmann",ARI,D,-42,68," "," "," "," ",5,9,8,43,0,0,0,132,0
335,"Erik Condra",TBL,RW,-42,68," "," "," "," ",9,14,13,106,1,0,2,33,2
336,"Eddie Lack",CAR,G,-43,42,2,0.921,2.45,18," "," "," "," "," "," "," "," "," "
337,"Marcus Johansson",WSH,C,-43,82," "," "," "," ",20,27,6,138,1,15,0,69,7
338,"Mikael Granlund",MIN,C,-43,68," "," "," "," ",8,31,17,99,2,8,0,47,476
339,"Curtis Glencross",WSH,LW,-44,71," "," "," "," ",13,22,2,108,1,11,0,124,8
340,"Petr Mrazek",DET,G,-44,30,3,0.918,2.38,16," "," "," "," "," "," "," "," "," "
341,"Elias Lindholm",CAR,C,-44,81," "," "," "," ",17,22,-23,170,4,15,0,106,115
342,"Jarret Stoll",NYR,C,-44,73," "," "," "," ",6,11,3,83,2,4,2,167,592
343,"Andrew Ference",EDM,D,-44,70," "," "," "," ",3,11,-17,58,0,0,1,156,0
344,"Andrew Cogliano",ANA,C,-44,82," "," "," "," ",15,14,5,134,2,0,3,139,16
345,"Milan Michalek",OTT,LW,-45,66," "," "," "," ",13,21,3,130,1,10,1,64,11
346,"Roman Polak",TOR,D,-45,56," "," "," "," ",5,4,-22,61,1,0,0,225,1
347,"Willie Mitchell",FLA,D,-45,66," "," "," "," ",3,5,1,78,0,0,1,99,0
348,"Jay Bouwmeester",STL,D,-45,72," "," "," "," ",2,11,7,92,0,4,0,42,0
349,"Chris Higgins",VAN,LW,-46,77," "," "," "," ",12,24,8,171,1,5,0,73,3
350,"Ryan Reaves",STL,RW,-46,81," "," "," "," ",6,6,-3,55,1,0,0,276,0
351,"Christopher Tanev",VAN,D,-46,70," "," "," "," ",2,18,8,53,1,2,0,23,0
352,"Kevan Miller",BOS,D,-46,41," "," "," "," ",2,5,20,37,1,0,0,87,0
353,"Alex Killorn",TBL,C,-46,71," "," "," "," ",15,23,8,130,5,3,1,60,35
354,"Brian Strait",NYI,D,-46,52," "," "," "," ",2,5,-1,59,0,0,1,124,0
355,"Michael Hutchinson",WPG,G,-47,39,2,0.914,2.39,21," "," "," "," "," "," "," "," "," "
356,"Stephen Gionta",NJD,RW,-47,61," "," "," "," ",5,8,4,84,1,0,2,92,159
357,"Brett Bellemore",CAR,D,-47,49," "," "," "," ",2,8,1,26,1,0,0,148,0
358,"Justin Fontaine",MIN,RW,-47,71," "," "," "," ",9,22,13,104,2,2,0,9,1
359,"David Rundblad",CHI,D,-47,49," "," "," "," ",3,11,17,58,1,1,0,23,0
360,"Matthew Carle",TBL,D,-47,59," "," "," "," ",4,14,12,73,0,1,0,26,0
361,"Jussi Jokinen",FLA,LW,-47,81," "," "," "," ",8,36,-2,134,0,9,0,52,126
362,"Clayton Stoner",ANA,D,-48,69," "," "," "," ",1,7,-2,68,1,0,0,128,0
363,"Dominic Moore",NYR,C,-48,82," "," "," "," ",10,17,5,116,3,1,2,55,585
364,"Zemgus Girgensons",BUF,C,-48,61," "," "," "," ",15,15,-16,115,1,4,3,127,440
365,"Benoit Pouliot",EDM,LW,-48,58," "," "," "," ",19,15,-1,105,3,7,1,71,13
366,"Ales Hemsky",DAL,RW,-48,76," "," "," "," ",11,21,-8,140,1,8,0,22,0
367,"Jordie Benn",DAL,D,-48,73," "," "," "," ",2,14,-5,70,0,2,0,92,0
368,"Brendan Smith",DET,D,-49,76," "," "," "," ",4,9,-2,88,1,2,0,60,0
369,"Ryan Stanton",WSH,D,-49,54," "," "," "," ",3,8,9,59,0,0,0,93,0
370,"Trevor Lewis",LAK,C,-49,73," "," "," "," ",9,16,8,143,2,0,1,192,76
371,"Nate Thompson",ANA,C,-49,80," "," "," "," ",5,13,0,87,3,0,1,204,557
372,"Chris Kelly",BOS,C,-50,80," "," "," "," ",7,21,6,112,2,0,2,126,262
373,"Antoine Vermette",ARI,C,-50,82," "," "," "," ",13,25,-25,109,1,14,0,80,872
374,"Evgeny Kuznetsov",WSH,C,-50,80," "," "," "," ",11,26,10,127,1,13,0,43,304
375,"Matt Moulson",BUF,LW,-51,77," "," "," "," ",13,28,-11,156,2,11,0,34,13
376,"Nathan Gerbe",CAR,LW,-51,78," "," "," "," ",10,18,-14,235,2,8,0,73,9
377,"Adam Pardy",WPG,D,-51,55," "," "," "," ",0,9,9,29,0,0,1,74,0
378,"Martin Erat",ARI,RW,-51,79," "," "," "," ",9,23,-16,91,1,6,0,96,0
379,"Jared Cowen",OTT,D,-51,54," "," "," "," ",3,6,-11,47,1,0,0,159,0
380,"Michal Rozsival",CHI,D,-51,65," "," "," "," ",1,12,0,56,0,0,0,103,0
381,"Josh Bailey",NYI,LW,-52,70," "," "," "," ",15,26,3,140,1,4,0,66,30
382,"Tom Wilson",WSH,RW,-52,67," "," "," "," ",4,13,-1,79,0,0,0,205,2
383,"Valtteri Filppula",TBL,C,-52,82," "," "," "," ",12,36,-14,91,0,17,0,25,621
384,"Adam McQuaid",BOS,D,-52,63," "," "," "," ",1,6,-2,60,0,0,0,141,0
385,"Cody McLeod",COL,LW,-52,82," "," "," "," ",7,5,-2,94,2,0,1,268,1
386,"John Moore",NJD,D,-52,57," "," "," "," ",2,9,-4,77,0,4,0,77,0
387,"Brandon Prust",VAN,RW,-52,82," "," "," "," ",4,14,6,78,0,0,1,122,16
388,"Pierre-edouard Bellemare",PHI,RW,-52,81," "," "," "," ",6,6,-3,113,1,0,0,121,360
389,"Tom Gilbert",MTL,D,-52,72," "," "," "," ",4,8,10,70,0,0,0,55,0
390,"Rob Scuderi",PIT,D,-52,82," "," "," "," ",1,9,9,52,0,0,1,41,0
391,"Eric Brewer",TOR,D,-52,44," "," "," "," ",3,8,-5,33,1,0,1,87,0
392,"Sergei Gonchar",MTL,D,-53,48," "," "," "," ",1,13,6,46,0,4,0,45,1
393,"Deryk Engelland",CGY,D,-53,76," "," "," "," ",2,9,-16,51,0,0,1,132,0
394,"Curtis Lazar",OTT,RW,-53,67," "," "," "," ",6,9,1,92,0,0,0,167,129
395,"Zbynek Michalek",ARI,D,-54,68," "," "," "," ",4,8,-3,86,0,0,0,85,0
396,"Tim Gleason",WSH,D,-54,72," "," "," "," ",1,8,-13,54,0,0,0,167,0
397,"Robert Bortuzzo",STL,D,-54,51," "," "," "," ",3,5,-9,56,0,0,0,157,1
398,"Dalton Prout",CBJ,D,-54,63," "," "," "," ",0,8,-14,64,0,0,0,166,0
399,"Jakub Kindl",DET,D,-54,35," "," "," "," ",5,8,2,54,0,7,0,31,0
400,"Patrick Maroon",ANA,LW,-54,71," "," "," "," ",9,25,-5,120,1,7,0,120,7
401,"Johnny Oduya",DAL,D,-54,76," "," "," "," ",2,8,5,76,0,0,0,69,0
402,"Vernon Fiddler",DAL,C,-55,80," "," "," "," ",13,16,-5,132,2,3,2,43,569
403,"Mark Arcobello",TOR,C,-55,77," "," "," "," ",17,14,-10,129,2,4,1,111,471
404,"Andrej Sustr",TBL,D,-55,72," "," "," "," ",0,13,10,55,0,1,0,39,0
405,"Nathan Guenin",COL,D,-55,76," "," "," "," ",2,13,-1,38,0,0,0,94,0
406,"Kari Lehtonen",DAL,G,-55,65,5,0.903,2.99,34," "," "," "," "," "," "," "," "," "
407,"Taylor Hall",EDM,LW,-55,53," "," "," "," ",14,24,-1,158,0,6,0,67,45
408,"Craig Anderson",OTT,G,-55,35,3,0.923,2.57,14," "," "," "," "," "," "," "," "," "
409,"Travis Zajac",NJD,C,-56,74," "," "," "," ",11,14,-3,112,0,7,2,70,641
410,"Cody Goloubef",CBJ,D,-56,36," "," "," "," ",0,9,12,23,0,0,1,44,0
411,"Carl Gunnarsson",STL,D,-56,61," "," "," "," ",2,10,10,54,0,1,0,42,0
412,"Damon Severson",NJD,D,-56,51," "," "," "," ",5,12,-13,93,0,7,0,19,0
413,"Mike Weber",BUF,D,-56,64," "," "," "," ",1,6,-22,41,0,0,1,172,0
414,"Chris Butler",STL,D,-56,33," "," "," "," ",3,6,8,54,0,0,1,31,0
415,"Jean-gabriel Pageau",OTT,C,-56,50," "," "," "," ",10,9,4,97,2,0,2,158,335
416,"Peter Holland",TOR,C,-56,62," "," "," "," ",11,14,0,93,3,3,2,99,312
417,"Jon Merrill",NJD,D,-56,66," "," "," "," ",2,12,-14,47,0,4,1,59,0
418,"Mark Fayne",EDM,D,-57,74," "," "," "," ",2,6,-21,78,0,0,2,81,0
419,"Patrik Elias",NJD,LW,-57,69," "," "," "," ",13,21,-20,114,1,9,2,23,263
420,"Radko Gudas",PHI,D,-57,31," "," "," "," ",2,3,-5,63,1,0,0,115,0
421,"Victor Rask",CAR,C,-58,80," "," "," "," ",11,22,-14,172,2,11,0,42,468
422,"Brett Connolly",BOS,RW,-58,55," "," "," "," ",12,5,3,83,2,3,0,90,18
423,"Nathan Beaulieu",MTL,D,-58,64," "," "," "," ",1,8,6,62,0,2,0,50,0
424,"Ron Hainsey",CAR,D,-58,81," "," "," "," ",2,8,-14,83,0,1,0,110,1
425,"David Legwand",BUF,C,-58,80," "," "," "," ",9,18,1,91,0,12,2,43,451
426,"Nathan MacKinnon",COL,C,-59,64," "," "," "," ",14,24,-7,192,2,7,0,43,201
427,"Craig Adams",PIT,RW,-59,71," "," "," "," ",1,6,-1,51,1,0,1,183,17
428,"Korbinian Holzer",ANA,D,-59,34," "," "," "," ",0,6,3,32,0,0,0,117,0
429,"Joe Colborne",CGY,C,-59,64," "," "," "," ",8,20,7,67,1,5,1,158,176
430,"Oscar Klefbom",EDM,D,-60,60," "," "," "," ",2,18,-21,98,0,2,0,45,0
431,"Aleksander Barkov",FLA,C,-60,71," "," "," "," ",16,20,-4,123,3,7,0,35,462
432,"Sam Gagner",PHI,C,-60,81," "," "," "," ",15,26,-28,183,1,12,0,63,361
433,"Matt Tennyson",SJS,D,-60,27," "," "," "," ",2,6,0,37,0,2,1,48,0
434,"Andrej Meszaros",BUF,D,-60,60," "," "," "," ",7,7,-13,67,1,1,0,67,0
435,"Casey Cizikas",NYI,C,-60,70," "," "," "," ",9,9,-2,90,2,1,2,144,446
436,"Tomas Jurco",DET,RW,-60,63," "," "," "," ",3,15,6,92,0,2,0,97,0
437,"Tomas Hertl",SJS,C,-60,82," "," "," "," ",13,18,-5,145,4,6,0,106,38
438,"Linden Vey",VAN,RW,-61,75," "," "," "," ",10,14,-3,61,2,6,0,14,215
439,"Jay Harrison",WPG,D,-61,55," "," "," "," ",3,6,-1,50,0,2,0,76,0
440,"Brian Flynn",MTL,RW,-61,63," "," "," "," ",5,12,-5,82,0,1,2,44,172
441,"Andrew MacDonald",PHI,D,-61,58," "," "," "," ",2,10,-5,62,0,5,0,35,0
442,"Scottie Upshall",FLA,RW,-61,63," "," "," "," ",8,7,-8,93,2,1,0,128,34
443,"Anton Volchenkov",NSH,D,-61,46," "," "," "," ",0,7,4,35,0,0,0,93,0
444,"Teddy Purcell",EDM,RW,-61,82," "," "," "," ",12,22,-33,146,0,12,0,24,4
445,"Ben Smith",SJS,RW,-61,80," "," "," "," ",7,7,2,92,1,0,0,72,310
446,"Dwight King",LAK,LW,-62,81," "," "," "," ",13,13,-3,127,1,1,1,124,3
447,"Melker Karlsson",SJS,RW,-62,53," "," "," "," ",13,11,-3,100,2,1,0,51,13
448,"Braydon Coburn",TBL,D,-62,43," "," "," "," ",1,10,2,46,0,0,0,62,0
449,"Andrew Shaw",CHI,C,-62,79," "," "," "," ",15,11,-8,146,2,6,0,127,357
450,"Mark Fraser",NJD,D,-62,34," "," "," "," ",0,4,2,19,0,0,1,85,0
451,"Jeff Skinner",CAR,LW,-62,77," "," "," "," ",18,13,-24,235,2,7,0,47,21
452,"Rickard Rakell",ANA,C,-62,71," "," "," "," ",9,22,6,105,1,9,0,79,310
453,"Ryan Murphy",CAR,D,-63,37," "," "," "," ",4,9,-11,61,1,5,0,20,0
454,"Jordin Tootoo",NJD,RW,-63,68," "," "," "," ",10,5,1,75,1,1,0,127,1
455,"Mikael Backlund",CGY,C,-64,52," "," "," "," ",10,17,4,103,2,1,2,41,423
456,"Ben Chiarot",WPG,D,-64,40," "," "," "," ",2,6,5,37,0,0,0,70,0
457,"Calvin Pickard",COL,G,-64,16,2,0.932,2.5,6," "," "," "," "," "," "," "," "," "
458,"Martin Hanzal",ARI,C,-64,37," "," "," "," ",8,16,-1,85,3,4,1,105,346
459,"Victor Bartley",NSH,D,-64,37," "," "," "," ",0,10,1,28,0,0,0,77,0
460,"John Mitchell",COL,C,-65,68," "," "," "," ",11,15,-9,105,1,4,1,143,374
461,"Kyle Clifford",LAK,LW,-65,80," "," "," "," ",6,9,5,117,1,0,0,200,2
462,"PA Parenteau",TOR,RW,-65,56," "," "," "," ",8,14,0,97,1,4,0,32,10
463,"Jamie Oleksiak",DAL,D,-65,36," "," "," "," ",1,7,0,36,0,0,0,82,0
464,"Nikita Nesterov",TBL,D,-65,27," "," "," "," ",2,5,6,44,0,2,0,42,0
465,"Christian Folin",MIN,D,-65,40," "," "," "," ",2,8,3,39,0,1,0,46,0
466,"Chris Thorburn",WPG,RW,-66,81," "," "," "," ",7,7,-5,67,2,0,0,126,36
467,"Tobias Rieder",ARI,C,-66,72," "," "," "," ",13,8,-19,189,1,2,3,123,1
468,"Joffrey Lupul",TOR,RW,-67,55," "," "," "," ",10,11,-10,97,1,3,0,78,4
469,"Riley Sheahan",DET,C,-67,79," "," "," "," ",13,23,-3,123,0,11,0,21,484
470,"Nikita Nikitin",EDM,D,-67,42," "," "," "," ",4,6,-12,80,1,3,0,21,0
471,"Matt Bartkowski",VAN,D,-67,47," "," "," "," ",0,4,-6,67,0,0,0,88,0
472,"Cedric Paquette",TBL,C,-67,64," "," "," "," ",12,7,4,91,3,0,2,127,112
473,"Matt Calvert",CBJ,LW,-67,56," "," "," "," ",13,10,1,93,3,0,1,92,6
474,"Andrej Nestrasil",CAR,RW,-68,54," "," "," "," ",7,13,-1,82,0,5,0,54,55
475,"Luke Glendening",DET,C,-68,82," "," "," "," ",12,6,5,104,2,1,0,147,499
476,"David Clarkson",CBJ,RW,-68,61," "," "," "," ",10,5,-12,95,1,1,0,133,25
477,"Carlo Colaiacovo",BUF,D,-68,33," "," "," "," ",2,6,0,42,0,2,0,46,0
478,"Dylan Olsen",FLA,D,-68,44," "," "," "," ",2,6,-7,44,0,1,0,77,0
479,"Ryan Garbutt",CHI,LW,-68,67," "," "," "," ",8,17,-9,143,2,0,1,82,16
480,"David Krejci",BOS,C,-69,47," "," "," "," ",7,24,7,70,1,8,1,35,316
481,"Patrick Dwyer",CAR,RW,-69,71," "," "," "," ",5,7,-12,77,0,0,1,145,5
482,"Derrick Pouliot",PIT,D,-69,34," "," "," "," ",2,5,-11,56,2,4,0,15,0
483,"Richard Panik",TOR,RW,-69,76," "," "," "," ",11,6,-8,87,1,2,0,101,2
484,"Zack Kassian",MTL,RW,-69,42," "," "," "," ",10,6,-5,55,3,1,0,88,0
485,"Marcus Foligno",BUF,LW,-70,57," "," "," "," ",8,12,-5,66,0,1,1,193,57
486,"Connor Murphy",ARI,D,-70,73," "," "," "," ",4,3,-27,72,0,0,0,137,0
487,"Jason Zucker",MIN,LW,-71,51," "," "," "," ",21,5,-9,124,3,1,1,67,2
488,"Jimmy Howard",DET,G,-71,53,1,0.91,2.49,23," "," "," "," "," "," "," "," "," "
489,"Jyrki Jokipakka",DAL,D,-71,51," "," "," "," ",0,10,-2,40,0,0,0,42,0
490,"Cam Ward",CAR,G,-71,51,1,0.91,2.45,22," "," "," "," "," "," "," "," "," "
491,"Zach Trotman",BOS,D,-71,27," "," "," "," ",1,4,-2,46,1,0,0,44,0
492,"David Schlemko",NJD,D,-71,44," "," "," "," ",1,3,1,45,0,2,0,45,0
493,"Jamie McBain",LAK,D,-72,26," "," "," "," ",3,6,4,18,0,3,0,21,0
494,"David Pastrnak",BOS,LW,-72,46," "," "," "," ",10,17,12,93,3,3,0,20,5
495,"Nate Prosser",MIN,D,-72,63," "," "," "," ",2,5,-1,38,1,0,0,34,0
496,"Mike Santorelli",ANA,C,-72,62," "," "," "," ",11,20,4,107,1,2,2,48,77
497,"Mikkel Boedker",ARI,LW,-72,45," "," "," "," ",14,14,-10,79,2,12,0,66,0
498,"Brandon Pirri",FLA,C,-72,49," "," "," "," ",22,2,6,143,4,7,0,39,86
499,"Chris Phillips",OTT,D,-73,36," "," "," "," ",0,3,0,29,0,1,0,70,0
500,"David Moss",ARI,RW,-73,60," "," "," "," ",4,8,-18,96,0,2,1,115,6
501,"Scott Hannan",SJS,D,-73,58," "," "," "," ",2,5,0,53,0,0,0,32,0
502,"Artem Anisimov",CHI,C,-73,52," "," "," "," ",7,20,-6,88,2,4,3,33,102
503,"Tim Erixon",PIT,D,-73,42," "," "," "," ",2,5,-7,36,0,5,0,34,0
504,"Nicolas Deslauriers",BUF,LW,-74,82," "," "," "," ",5,10,-24,76,1,0,1,261,0
505,"Michael Ryder",NJD,RW,-74,47," "," "," "," ",6,13,-1,89,0,2,0,53,2
506,"Olli Maatta",PIT,D,-74,20," "," "," "," ",1,8,1,27,0,2,0,18,0
507,"Raphael Diaz",NYR,D,-75,56," "," "," "," ",2,2,-3,52,1,1,0,24,0
508,"Dave Bolland",FLA,C,-75,53," "," "," "," ",6,17,4,76,0,5,1,88,414
509,"Steven Kampfer",FLA,D,-75,25," "," "," "," ",2,2,-4,28,1,1,0,49,0
510,"Andre Benoit",STL,D,-75,59," "," "," "," ",1,8,-19,45,0,1,1,38,0
511,"Mark Barberio",MTL,D,-75,52," "," "," "," ",1,6,-4,53,0,0,0,35,0
512,"Paul Postma",WPG,D,-76,42," "," "," "," ",2,4,1,40,0,2,0,17,0
513,"Shawn Horcoff",ANA,C,-76,76," "," "," "," ",11,18,9,82,1,5,0,80,237
514,"Jonathan Drouin",TBL,LW,-76,70," "," "," "," ",4,28,3,76,0,6,0,55,11
515,"Jason Chimera",WSH,LW,-76,77," "," "," "," ",7,12,-1,96,2,0,0,132,43
516,"Grant Clitsome",WPG,D,-76,24," "," "," "," ",0,4,4,22,0,0,0,46,0
517,"Alex Petrovic",FLA,D,-76,33," "," "," "," ",0,3,-4,29,0,0,0,76,0
518,"Josh Jooris",CGY,C,-76,60," "," "," "," ",12,12,1,89,4,5,0,59,276
519,"Jordan Staal",CAR,C,-77,46," "," "," "," ",6,18,-6,92,1,7,0,85,499
520,"Michal Jordan",CAR,D,-77,38," "," "," "," ",2,4,-7,44,0,2,0,35,0
521,"Scott Gomez",NJD,C,-78,58," "," "," "," ",7,27,-10,70,1,14,0,24,367
522,"Brett Ritchie",DAL,RW,-78,31," "," "," "," ",6,3,-1,78,1,1,0,89,1
523,"Lauri Korpikoski",EDM,LW,-78,69," "," "," "," ",6,15,-27,82,1,8,1,141,11
524,"Jesper Fast",NYR,RW,-79,58," "," "," "," ",6,8,-1,52,0,1,0,102,4
525,"Derek Roy",EDM,C,-79,72," "," "," "," ",12,20,-13,113,2,7,0,32,407
526,"Josh Manson",ANA,D,-79,28," "," "," "," ",0,3,1,26,0,0,0,44,0
527,"Beau Bennett",PIT,RW,-79,49," "," "," "," ",4,8,-1,81,1,0,0,68,0
528,"Derek MacKenzie",FLA,C,-80,82," "," "," "," ",5,6,-17,72,0,1,0,273,543
529,"Nate Schmidt",WSH,D,-80,39," "," "," "," ",1,3,-2,40,0,0,0,34,0
530,"Jack Hillen",CAR,D,-80,38," "," "," "," ",0,5,-1,24,0,0,0,38,0
531,"Matthew Nieto",SJS,LW,-80,72," "," "," "," ",10,17,-12,135,1,4,1,24,0
532,"Paul Gaustad",NSH,C,-81,73," "," "," "," ",4,10,7,54,1,0,0,143,619
533,"Chris Neil",OTT,RW,-81,38," "," "," "," ",4,3,5,23,0,1,0,136,3
534,"Adam Clendening",PIT,D,-81,21," "," "," "," ",1,3,2,17,0,3,0,9,0
535,"Seth Helgeson",NJD,D,-81,22," "," "," "," ",0,2,4,11,0,0,0,42,0
536,"Slava Voynov",LAK,D,-81,6," "," "," "," ",0,2,0,5,0,1,1,11,0
537,"Alexander Semin",MTL,RW,-81,57," "," "," "," ",6,13,-10,93,0,4,0,30,3
538,"Pascal Dupuis",PIT,RW,-81,16," "," "," "," ",6,5,2,44,1,3,1,20,1
539,"Johan Franzen",DET,LW,-81,33," "," "," "," ",7,15,-12,74,3,11,0,45,5
540,"Jordan Leopold",MIN,D,-82,43," "," "," "," ",1,3,-6,39,0,1,0,33,0
541,"J.t. Miller",NYR,C,-82,58," "," "," "," ",10,13,5,92,3,3,0,89,93
542,"Keith Aulie",EDM,D,-82,31," "," "," "," ",0,1,-3,25,0,0,0,59,0
543,"Klas Dahlbeck",ARI,D,-82,23," "," "," "," ",1,3,-8,20,0,0,0,64,0
544,"Josh Gorges",BUF,D,-83,46," "," "," "," ",0,6,-28,28,0,0,1,75,0
545,"Mirco Mueller",SJS,D,-83,39," "," "," "," ",1,3,-8,31,0,0,0,49,0
546,"Brooks Laich",WSH,C,-83,66," "," "," "," ",7,13,-2,106,2,1,1,107,87
547,"Petteri Lindbohm",STL,D,-83,23," "," "," "," ",2,1,-1,32,0,0,0,26,0
548,"Xavier Ouellet",DET,D,-83,21," "," "," "," ",2,1,4,27,0,0,0,11,0
549,"Matt Donovan",BUF,D,-84,12," "," "," "," ",0,3,4,12,0,0,0,22,0
550,"Mike Weaver",MTL,D,-84,31," "," "," "," ",0,4,0,8,0,0,0,35,0
551,"Martin Marincin",TOR,D,-84,41," "," "," "," ",1,4,-4,38,0,0,0,17,1
552,"Michael Grabner",TOR,RW,-84,34," "," "," "," ",8,5,4,63,0,0,0,62,0
553,"Tomas Fleischmann",ANA,C,-84,66," "," "," "," ",8,19,12,131,1,1,0,64,4
554,"Tim Jackman",ANA,RW,-84,55," "," "," "," ",5,2,-4,55,1,0,0,110,10
555,"Andre Burakovsky",WSH,LW,-84,53," "," "," "," ",9,13,12,65,2,3,0,22,74
556,"Brandon Gormley",COL,D,-84,27," "," "," "," ",2,2,-7,39,0,1,0,26,0
557,"Matt Hendricks",EDM,C,-84,71," "," "," "," ",8,8,-14,103,0,1,1,220,98
558,"Riley Nash",CAR,C,-84,68," "," "," "," ",8,17,-10,94,0,6,0,88,488
559,"Colton Sceviour",DAL,C,-84,71," "," "," "," ",9,17,1,113,2,4,0,77,30
560,"Sean Bergenheim",MIN,LW,-84,56," "," "," "," ",9,10,-2,108,2,2,0,73,2
561,"Patrik Nemeth",DAL,D,-85,22," "," "," "," ",0,3,0,16,0,0,0,28,0
562,"Jay Beagle",WSH,C,-85,62," "," "," "," ",10,10,6,84,2,0,1,73,217
563,"Alex Biega",VAN,D,-85,7," "," "," "," ",1,0,-2,7,1,0,0,34,0
564,"Tyson Strachan",MIN,D,-85,46," "," "," "," ",0,5,-30,38,0,0,1,67,0
565,"Rob Klinkhammer",EDM,LW,-85,69," "," "," "," ",5,4,-4,64,0,0,0,236,10
566,"Mark Pysyk",BUF,D,-85,7," "," "," "," ",2,1,4,4,1,0,0,1,0
567,"Antoine Roussel",DAL,LW,-85,80," "," "," "," ",13,12,-20,113,1,3,0,115,3
