Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
523,"Evgeny Kuznetsov",WSH,C/LW,-70,49," "," "," "," ",7,16,4,74,0,7,1,25,155
524,"Rob Klinkhammer",EDM,C/LW/RW,-70,59," "," "," "," ",7,8,3,74,1,1,0,171,2
525,"Ben Chiarot",WPG,D,-70,20," "," "," "," ",1,4,1,18,0,0,0,36,0
526,"Carlo Colaiacovo",BUF,D,-70,22," "," "," "," ",1,4,-3,25,0,2,0,30,0
527,"Luke Glendening",DET,C/LW/RW,-71,69," "," "," "," ",7,6,-2,79,1,1,0,119,410
528,"Colby Robak",ANA,D,-71,18," "," "," "," ",0,2,-1,16,0,0,1,15,0
529,"Oliver Lauridsen",PHI,D,-71,14," "," "," "," ",1,2,-2,14,1,0,0,32,0
530,"Colin Greening",OTT,LW,-71,60," "," "," "," ",5,10,-6,90,1,3,0,173,16
531,"Adam Clendening",PIT,D,-71,21," "," "," "," ",1,3,2,17,0,3,0,9,0
532,"Jamie Oleksiak",DAL,D,-71,23," "," "," "," ",0,4,-3,21,0,0,0,51,0
533,"Patrick Maroon",ANA,LW,-72,52," "," "," "," ",7,16,2,83,1,3,0,94,6
534,"Cody Goloubef",CBJ,D,-72,20," "," "," "," ",0,4,4,16,0,0,0,22,0
535,"Andre Burakovsky",WSH,LW,-72,53," "," "," "," ",9,14,12,65,2,3,0,22,74
536,"Ryan Wilson",COL,D,-72,17," "," "," "," ",0,4,1,20,0,0,0,31,0
537,"Seth Helgeson",NJD,D,-72,21," "," "," "," ",0,2,3,11,0,0,0,42,0
538,"Klas Dahlbeck",ARI,D,-72,22," "," "," "," ",1,3,-6,20,0,0,0,61,0
539,"Ondrej Pavelec",WPG,G,-72,55,0.908,2.69,65,5," "," "," "," "," "," "," "," "," "
540,"Michal Jordan",CAR,D,-72,24," "," "," "," ",1,2,-5,25,1,1,0,19,0
541,"Justin Fontaine",MIN,RW,-72,68," "," "," "," ",11,15,10,90,2,2,0,9,2
542,"Bo Horvat",VAN,C,-73,67," "," "," "," ",13,11,-9,92,1,0,1,69,431
