Rank,Player,Team,Position,"FHG Value","Games Played",SV%,GAA,W,SO,G,A,+/-,SOG,GWG,PPP,SHP,HITS,FOW
720,"Travis Moen",DAL,LW/RW,-106,62," "," "," "," ",2,9,-1,49,0,0,0,95,4
721,"Mark Arcobello",TOR,C,-106,40," "," "," "," ",7,9,-6,66,0,2,0,63,224
722,"Brad Malone",CAR,C/LW,-109,39," "," "," "," ",4,4,-6,32,1,0,0,100,32
723,"Drew Shore",CGY,C,-109,36," "," "," "," ",3,8,-7,61,1,2,1,32,109
724,"Evgeni Nabokov",SJS,G,-109,36,0.905,2.64,41,7," "," "," "," "," "," "," "," "," "
725,"Jacob De La Rose",MTL,LW,-110,32," "," "," "," ",4,2,-4,37,0,0,1,70,64
726,"Chris Porter",PHI,LW,-110,32," "," "," "," ",1,4,0,40,1,0,0,83,11
727,"Matt Frattin",TOR,RW,-110,32," "," "," "," ",3,5,1,45,1,0,0,59,3
728,"Daniel Carcillo",CHI,LW,-110,45," "," "," "," ",3,3,1,41,1,0,0,70,0
729,"Tim Jackman",ANA,RW,-111,54," "," "," "," ",3,4,-7,58,0,0,0,113,8
730,"Patrick Bordeleau",COL,LW/RW,-111,54," "," "," "," ",3,4,-3,26,0,0,0,124,0
731,"Magnus Paajarvi",STL,LW,-111,46," "," "," "," ",5,7,-4,61,1,1,0,25,2
732,"Dennis Everberg",COL,RW,-111,55," "," "," "," ",3,10,-7,62,0,0,0,73,0
733,"Jack Skille",CBJ,RW,-111,43," "," "," "," ",4,6,-11,80,0,0,0,90,4
734,"B.J. Crombeen",ARI,RW,-111,62," "," "," "," ",2,8,-2,61,0,0,0,68,3
735,"Joakim Andersson",DET,C,-111,66," "," "," "," ",5,8,-5,75,1,0,0,27,225
736,"Michael Bournival",MTL,LW,-112,42," "," "," "," ",5,4,-4,47,1,2,0,45,12
737,"Jacob Josefson",NJD,C/LW,-112,42," "," "," "," ",3,3,-4,39,0,1,1,31,161
738,"Markus Granlund",CGY,C,-112,27," "," "," "," ",5,6,-1,36,1,1,1,23,111
739,"Jordan Schroeder",MIN,C/RW,-113,34," "," "," "," ",3,6,0,43,1,1,0,23,84
740,"Taylor Beck",NYI,LW/RW,-113,32," "," "," "," ",4,5,-2,48,1,2,0,29,4
741,"Michael Ferland",CGY,LW,-114,25," "," "," "," ",2,3,1,31,1,1,0,61,0
742,"Ryan Spooner",BOS,C/LW,-115,19," "," "," "," ",2,8,1,41,0,4,0,10,55
743,"Corey Tropp",CHI,LW/RW,-115,57," "," "," "," ",2,8,-6,29,0,0,0,96,1
744,"Rickard Rakell",ANA,C,-116,32," "," "," "," ",3,9,1,45,0,3,0,36,138
745,"Ronalds Kenins",VAN,LW,-116,29," "," "," "," ",3,7,-3,37,0,0,0,71,0
746,"Ryan Malone",NYR,LW/RW,-116,35," "," "," "," ",4,5,-6,55,0,2,0,55,4
747,"Peter Regin",CHI,C/LW,-116,37," "," "," "," ",1,5,-3,44,0,0,1,23,90
748,"Manny Malhotra",MTL,C,-116,47," "," "," "," ",3,3,-3,34,1,0,0,44,387
749,"Seth Griffith",BOS,C/RW,-117,30," "," "," "," ",6,4,-2,33,1,3,0,14,3
750,"Thomas Greiss",NYI,G,-117,19,0.915,2.63,20,4," "," "," "," "," "," "," "," "," "
751,"Brett Connolly",BOS,LW/RW,-117,25," "," "," "," ",5,2,-2,37,1,1,0,35,16
752,"Martin Brodeur",STL,G,-117,29,0.901,2.44,35,6," "," "," "," "," "," "," "," "," "
753,"Craig Cunningham",ARI,C/LW,-118,26," "," "," "," ",2,2,-3,28,0,0,1,53,36
754,"Dmitrij Jaskin",STL,RW,-118,25," "," "," "," ",4,2,1,42,0,0,0,63,1
755,"Cedric Paquette",TBL,C,-118,33," "," "," "," ",6,4,3,45,0,0,0,64,64
756,"Eric Tangradi",DET,LW,-120,44," "," "," "," ",1,3,-5,45,0,0,0,87,1
757,"Brian Gibbons",NYR,C,-120,33," "," "," "," ",3,8,4,25,0,1,1,19,7
758,"Johan Larsson",BUF,LW,-120,23," "," "," "," ",2,5,0,25,0,1,0,38,95
759,"Mike Brown",SJS,RW,-120,45," "," "," "," ",1,2,-7,31,0,0,0,116,4
760,"Patrick Kaleta",BUF,RW,-121,35," "," "," "," ",0,2,-7,25,0,0,1,80,3
761,"Jesper Fast",NYR,LW/RW,-121,35," "," "," "," ",3,4,-3,30,0,1,0,61,2
762,"Drayson Bowman",MTL,LW,-121,45," "," "," "," ",2,5,-4,61,0,0,0,43,3
763,"Tye McGinn",TBL,LW,-121,33," "," "," "," ",3,4,0,41,0,0,0,44,0
764,"Jim Slater",WPG,C,-121,51," "," "," "," ",2,4,-5,37,0,0,0,82,251
765,"Jared Boll",CBJ,RW,-121,58," "," "," "," ",1,4,-7,24,0,0,0,107,1
766,"Curtis Mckenzie",DAL,LW,-121,36," "," "," "," ",4,1,-7,41,0,0,0,85,3
767,"Jayson Megna",NYR,RW,-122,24," "," "," "," ",3,2,-1,25,1,0,0,44,1
768,"Vladislav Namestnikov",TBL,C,-122,23," "," "," "," ",5,3,1,25,2,1,0,21,41
769,"Jeremy Morin",CHI,LW/RW,-123,24," "," "," "," ",3,4,2,43,0,0,0,23,2
770,"Stephen Weiss",DET,C,-123,35," "," "," "," ",4,8,-7,37,1,4,0,11,112
771,"Adam Burish",SJS,RW,-123,38," "," "," "," ",1,2,-8,32,0,0,1,46,73
772,"Luke Gazdic",EDM,LW,-124,53," "," "," "," ",2,2,-6,28,0,0,0,89,2
773,"Sven Baertschi",VAN,LW,-124,26," "," "," "," ",2,9,-3,29,0,2,0,17,0
774,"Teemu Pulkkinen",DET,LW,-124,17," "," "," "," ",3,1,3,35,1,1,0,3,0
775,"Anton Lander",EDM,C/LW/RW,-124,28," "," "," "," ",2,6,-9,32,0,2,0,35,106
776,"Joakim Lindstrom",TOR,C/LW/RW,-125,53," "," "," "," ",4,6,-15,61,0,5,0,14,7
777,"Andy Andreoff",LAK,LW,-125,18," "," "," "," ",2,1,1,14,1,0,0,33,32
778,"Nick Shore",LAK,C,-125,34," "," "," "," ",1,6,0,33,0,1,0,51,127
779,"James Reimer",TOR,G,-126,39,0.913,2.97,39,6," "," "," "," "," "," "," "," "," "
780,"Colton Orr",TOR,RW,-126,43," "," "," "," ",0,2,0,11,0,0,0,83,0
781,"Matt Fraser",WPG,LW/RW,-126,31," "," "," "," ",4,2,-6,44,0,0,0,49,1
782,"Troy Bodie",TOR,RW,-126,26," "," "," "," ",2,3,3,26,0,0,0,34,1
783,"Chris Terry",CAR,LW/RW,-127,24," "," "," "," ",4,4,-3,29,0,2,0,19,2
784,"Iiro Pakarinen",EDM,RW,-127,17," "," "," "," ",1,2,-4,34,0,2,0,51,1
785,"Cody McCormick",BUF,C/LW/RW,-127,30," "," "," "," ",1,3,-6,23,0,0,0,61,83
786,"William Karlsson",CBJ,C,-128,21," "," "," "," ",3,2,3,29,1,1,0,18,93
787,"Anthony Duclair",ARI,LW,-128,18," "," "," "," ",1,6,4,18,0,1,0,6,0
788,"Brian McGrattan",ANA,RW,-128,40," "," "," "," ",2,2,-4,41,0,0,0,48,1
789,"Anthony Peluso",WPG,RW,-128,37," "," "," "," ",1,2,-2,18,0,0,0,66,0
790,"Aaron Volpatti",WSH,LW,-129,33," "," "," "," ",1,1,-2,17,0,0,0,69,2
791,"Tom Sestito",VAN,LW,-129,44," "," "," "," ",3,2,-6,18,0,0,0,67,1
792,"Zach Sill",WSH,C,-129,42," "," "," "," ",1,1,-5,29,0,0,0,115,40
793,"Stephane Veilleux",MIN,LW,-129,23," "," "," "," ",2,1,-1,18,1,0,0,25,1
794,"Teuvo Teravainen",CHI,LW,-129,18," "," "," "," ",2,2,2,34,0,1,0,6,21
795,"John Gibson",ANA,G,-130,14,0.919,2.58,16,2," "," "," "," "," "," "," "," "," "
796,"Liam O'brien",WSH,C/LW,-130,13," "," "," "," ",1,1,4,16,0,0,0,35,1
797,"Zach Boychuk",CAR,LW/RW,-130,21," "," "," "," ",2,3,0,25,0,0,0,26,0
798,"Joakim Nordstrom",CAR,LW,-130,27," "," "," "," ",1,2,-4,34,0,0,0,45,6
799,"Antti Raanta",NYR,G,-131,21,0.912,2.59,20,3," "," "," "," "," "," "," "," "," "
800,"Adam Cracknell",VAN,RW,-131,23," "," "," "," ",1,3,-2,23,0,0,0,41,12
801,"Brandon McMillan",VAN,C/LW,-131,30," "," "," "," ",1,3,-7,31,0,0,0,51,10
802,"Michael Latta",WSH,C,-131,35," "," "," "," ",1,4,2,15,0,0,0,53,110
803,"Niklas Svedberg",BOS,G,-132,11,0.92,2.47,8,2," "," "," "," "," "," "," "," "," "
804,"Trevor Smith",TOR,C,-132,28," "," "," "," ",2,2,-4,23,1,0,0,40,135
805,"Matt Puempel",OTT,LW,-133,13," "," "," "," ",2,1,6,14,0,0,0,9,0
806,"Jordan Caron",STL,RW,-133,31," "," "," "," ",1,1,-3,32,0,0,0,40,0
807,"Stefan Matteau",NJD,LW,-133,18," "," "," "," ",1,2,-1,21,0,0,0,30,0
808,"Leon Draisaitl",EDM,C,-134,37," "," "," "," ",2,7,-17,49,1,2,0,21,128
809,"Reid Boucher",NJD,C/LW,-135,17," "," "," "," ",2,2,-1,24,0,0,0,13,1
810,"Chris VandeVelde",PHI,C,-135,36," "," "," "," ",3,3,-4,30,0,0,0,57,19
811,"Matt Ellis",BUF,C/LW,-135,33," "," "," "," ",2,1,-6,37,0,0,0,16,61
812,"Cam Ward",CAR,G,-135,34,0.906,2.64,40,2," "," "," "," "," "," "," "," "," "
813,"Scott Laughton",PHI,C,-135,20," "," "," "," ",1,2,-1,34,0,1,0,38,77
814,"Jesse Joensuu",EDM,LW/RW,-136,25," "," "," "," ",2,2,-8,26,0,0,0,40,0
815,"Zac Dalpe",MIN,C/RW,-136,31," "," "," "," ",2,3,-9,36,0,0,0,23,42
816,"Jordan Szwarz",ARI,RW,-136,17," "," "," "," ",2,0,-4,16,1,0,0,14,1
817,"Bryan Rust",PIT,RW,-136,14," "," "," "," ",1,1,-3,34,0,0,0,21,0
818,"Tyler Pitlick",EDM,RW,-136,14," "," "," "," ",2,0,-3,13,0,0,0,40,3
819,"Kerby Rychel",CBJ,LW,-137,5," "," "," "," ",0,3,3,4,0,0,0,11,0
820,"Carter Ashton",TBL,RW,-137,20," "," "," "," ",0,2,-1,14,0,0,0,26,7
821,"Lucas Lessio",ARI,LW,-137,15," "," "," "," ",1,2,-6,24,0,0,0,31,0
822,"Chris Conner",PHI,RW,-137,14," "," "," "," ",2,1,0,15,0,0,0,15,0
823,"Landon Ferraro",DET,C/RW,-137,3," "," "," "," ",1,0,1,2,1,0,0,5,0
824,"Eric Boulton",NYI,LW,-137,20," "," "," "," ",1,1,-2,14,0,0,0,27,0
825,"Steven Pinizzotto",EDM,RW,-138,15," "," "," "," ",1,2,-3,11,0,0,0,30,0
826,"Colin Fraser",STL,C,-138,31," "," "," "," ",1,3,-4,19,0,0,0,59,55
827,"Eric O'dell",OTT,C,-138,21," "," "," "," ",2,2,-1,12,1,0,0,23,48
828,"Brett Sutter",MIN,C/LW,-139,9," "," "," "," ",0,2,-1,8,0,0,0,20,14
829,"Brandon Kozun",TOR,RW,-139,20," "," "," "," ",2,2,-3,8,0,0,0,21,1
830,"Dana Tyrell",CBJ,C/LW,-139,15," "," "," "," ",0,2,-2,12,0,0,0,19,2
831,"Sven Andrighetto",MTL,RW,-140,12," "," "," "," ",2,1,0,12,0,0,0,5,3
832,"Eriah Hayes",SJS,RW,-140,10," "," "," "," ",1,0,-2,14,0,0,0,24,5
833,"Josh Anderson",CBJ,RW,-140,6," "," "," "," ",0,1,-1,10,0,0,0,24,0
834,"Ryan Hamilton",EDM,LW,-140,12," "," "," "," ",0,2,-4,8,0,1,0,22,2
835,"Mikhail Grigorenko",COL,C,-140,29," "," "," "," ",2,4,-6,36,0,1,0,15,88
836,"Bobby Farnham",PIT,RW,-140,11," "," "," "," ",0,0,0,6,0,0,0,26,0
837,"Brian Ferlin",BOS,RW,-140,7," "," "," "," ",0,1,0,6,0,0,0,20,0
838,"David Van Der Gulik",LAK,LW,-140,6," "," "," "," ",0,1,2,7,0,0,0,6,2
839,"Mike Sislo",NJD,RW,-141,12," "," "," "," ",0,1,-2,17,0,0,0,16,3
840,"Nicklas Jensen",VAN,LW/RW,-141,8," "," "," "," ",1,1,-1,13,0,0,0,6,0
841,"Michael Chaput",CBJ,C,-141,25," "," "," "," ",1,2,-4,15,0,0,0,47,93
842,"Will Acton",EDM,C,-141,17," "," "," "," ",2,1,-2,10,1,0,0,20,51
843,"Ben Street",COL,C,-141,9," "," "," "," ",0,1,-1,13,0,0,1,10,35
844,"Harrison Zolnierczyk",ANA,LW,-141,9," "," "," "," ",1,0,0,7,0,0,0,11,1
845,"Andrei Vasilevskiy",TBL,G,-142,16,0.918,2.62,7,1," "," "," "," "," "," "," "," "," "
846,"Chris Wagner",ANA,RW,-142,9," "," "," "," ",0,0,-2,7,0,0,0,22,33
847,"Andrew Ebbett",PIT,C,-142,27," "," "," "," ",1,5,-2,23,0,0,0,16,53
848,"Jerry D'amigo",BUF,RW,-142,16," "," "," "," ",1,1,-3,10,0,0,0,16,1
849,"Emile Poirier",CGY,LW,-142,6," "," "," "," ",0,1,1,2,0,0,0,7,0
850,"Petr Straka",PHI,RW,-142,3," "," "," "," ",0,2,1,2,0,0,0,4,0
851,"Miikka Salomaki",NSH,RW,-142,1," "," "," "," ",1,0,1,4,0,0,0,7,0
852,"Sam Carrick",TOR,C,-143,15," "," "," "," ",1,1,1,16,0,0,0,30,37
853,"Jason Akeson",BUF,RW,-143,5," "," "," "," ",0,1,1,5,0,0,0,4,0
854,"Carl Klingberg",NYR,LW,-143,3," "," "," "," ",1,0,1,2,0,0,0,2,0
855,"Shane Prince",OTT,LW,-143,2," "," "," "," ",0,1,1,2,0,0,0,2,0
856,"Jordan Martinook",ARI,LW,-143,8," "," "," "," ",0,1,-3,8,0,0,0,14,1
857,"Tim Schaller",BUF,C,-144,18," "," "," "," ",1,1,-5,19,0,0,0,44,74
858,"Stanislav Galiev",WSH,RW,-144,2," "," "," "," ",1,0,1,2,0,0,0,3,0
859,"Josh Leivo",TOR,LW,-144,8," "," "," "," ",1,0,-1,6,0,0,0,5,0
860,"Andrew Agozzino",COL,LW,-144,1," "," "," "," ",0,1,1,1,0,0,0,1,0
861,"Viktor Arvidsson",NSH,LW,-144,6," "," "," "," ",0,0,0,9,0,0,0,3,0
862,"Ty Rattie",STL,RW,-144,6," "," "," "," ",0,1,-1,6,0,0,0,7,0
863,"Ryan Hartman",CHI,RW,-144,5," "," "," "," ",0,0,-1,8,0,0,0,11,0
864,"Kael Mouillierat",PIT,LW,-144,6," "," "," "," ",1,1,-3,1,0,0,0,8,16
865,"Christian Thomas",MTL,LW/RW,-144,7," "," "," "," ",0,0,-1,10,0,0,0,4,0
866,"Joey Hishon",COL,C,-145,12," "," "," "," ",1,1,-1,16,1,0,0,2,31
867,"David Wolf",CGY,LW,-145,3," "," "," "," ",0,0,0,1,0,0,0,6,1
868,"Justin Shugg",CAR,LW,-145,3," "," "," "," ",0,0,0,3,0,0,0,3,0
869,"Mike Angelidis",TBL,LW,-145,3," "," "," "," ",0,0,0,0,0,0,0,3,5
870,"Garrett Wilson",FLA,LW,-145,3," "," "," "," ",0,0,-2,5,0,0,0,8,0
871,"Matt Lindblad",NYR,LW,-145,2," "," "," "," ",0,0,0,2,0,0,0,1,1
872,"Bobby Robins",BOS,C/RW,-146,3," "," "," "," ",0,0,0,0,0,0,0,6,0
873,"Joe Whitney",NYI,RW,-146,3," "," "," "," ",1,0,-1,1,0,0,0,3,0
874,"Brandon Defazio",BOS,LW,-146,2," "," "," "," ",0,0,0,2,0,0,0,0,0
875,"Max Friberg",ANA,LW,-146,1," "," "," "," ",0,0,0,0,0,0,0,2,0
876,"Brendan Ranford",DAL,LW,-146,1," "," "," "," ",0,0,0,0,0,0,0,2,0
877,"Mike Blunden",TBL,RW,-146,6," "," "," "," ",0,0,-2,3,0,0,0,11,0
878,"Kyle Baun",CHI,RW,-146,2," "," "," "," ",0,0,-1,3,0,0,0,6,0
879,"Joel Armia",WPG,RW,-146,1," "," "," "," ",0,0,0,0,0,0,0,4,0
880,"Brendan Woods",CAR,LW,-146,2," "," "," "," ",0,0,-1,3,0,0,0,2,0
881,"Kevin Fiala",NSH,LW,-146,1," "," "," "," ",0,0,-1,3,0,0,0,0,0
882,"Stefan Noesen",ANA,RW,-147,1," "," "," "," ",0,0,0,0,0,0,0,0,0
883,"Tim Sestito",NJD,C,-147,14," "," "," "," ",0,2,0,10,0,0,0,21,27
884,"Andrew Miller",EDM,C,-147,9," "," "," "," ",1,5,-2,14,0,0,0,7,1
885,"Tomas Vincour",COL,C,-147,18," "," "," "," ",1,3,-2,11,0,0,0,22,0
886,"Chris Mueller",ANA,C,-148,16," "," "," "," ",1,2,-3,18,0,0,0,13,53
887,"Bryan Lerg",SJS,LW,-148,1," "," "," "," ",0,0,-2,0,0,0,0,1,0
888,"Borna Rendulic",COL,C,-148,11," "," "," "," ",1,1,1,6,0,0,0,22,0
889,"Mackenzie Skapski",NYR,G,-148,3,0.978,0.5,2,1," "," "," "," "," "," "," "," "," "
890,"Philip Varone",BUF,C,-149,19," "," "," "," ",2,2,-9,22,0,0,0,19,87
891,"Michael Santorelli",NSH,C,-149,17," "," "," "," ",1,1,-4,38,0,0,0,7,9
892,"Gabriel Dumont",MTL,C,-149,7," "," "," "," ",0,1,0,12,0,0,0,16,14
893,"Blair Jones",VAN,C,-149,15," "," "," "," ",1,0,-4,16,0,0,0,26,33
894,"Troy Grosenick",SJS,G,-150,3,0.948,1.5,1,1," "," "," "," "," "," "," "," "," "
895,"Paul Carey",WSH,C,-150,11," "," "," "," ",0,1,2,6,0,0,0,12,0
896,"Rocco Grimaldi",FLA,C,-150,7," "," "," "," ",1,0,0,18,0,0,0,7,6
897,"Brendan Shinnimin",ARI,C,-150,12," "," "," "," ",0,1,-1,10,0,0,0,12,42
898,"Alexandre Bolduc",ARI,C,-151,14," "," "," "," ",0,0,-4,16,0,0,0,30,9
899,"Travis Morin",DAL,C,-151,5," "," "," "," ",0,1,2,7,0,0,0,2,24
900,"Patrice Cormier",WPG,C,-151,9," "," "," "," ",0,1,0,4,0,0,0,16,10
901,"Freddie Hamilton",COL,C,-151,14," "," "," "," ",1,0,-4,12,0,0,0,24,19
902,"Chris Brown",WSH,C,-151,9," "," "," "," ",1,0,0,7,0,0,0,13,5
903,"Nick Cousins",PHI,C,-151,10," "," "," "," ",0,0,1,6,0,0,0,11,23
904,"Casey Bailey",TOR,C,-152,6," "," "," "," ",1,0,1,9,0,0,0,3,0
905,"Daniil Tarasov",SJS,C,-152,5," "," "," "," ",0,1,2,5,0,0,0,2,1
906,"Sean Collins",WSH,C,-152,8," "," "," "," ",0,1,0,4,0,0,0,12,1
907,"Luke Adam",NYR,C,-152,7," "," "," "," ",1,0,0,7,0,0,0,8,4
908,"Justin Hodgman",STL,C,-153,5," "," "," "," ",1,0,-2,3,0,1,0,8,25
909,"Andrew Copp",WPG,C,-153,1," "," "," "," ",0,1,2,4,0,0,0,0,6
910,"Micheal Haley",SJS,C,-153,10," "," "," "," ",0,0,-1,4,0,0,0,20,2
911,"Jonathan Marchessault",TBL,C,-153,2," "," "," "," ",1,0,1,2,0,0,0,3,1
912,"Corban Knight",FLA,C,-154,5," "," "," "," ",1,0,-1,3,0,0,0,7,17
913,"Sam Reinhart",BUF,C,-154,9," "," "," "," ",0,1,-1,3,0,0,0,3,21
914,"Max Reinhart",NSH,C,-155,6," "," "," "," ",0,1,-1,5,0,0,0,1,4
915,"Michael Sgarbossa",ANA,C,-155,7," "," "," "," ",0,1,-2,6,0,0,0,3,9
916,"Phillip Danault",CHI,C,-155,2," "," "," "," ",0,0,0,2,0,0,0,3,6
917,"Tom McCollum",DET,G,-155,2,0.96,0,1,0," "," "," "," "," "," "," "," "," "
918,"Greg Mckegg",FLA,C,-155,2," "," "," "," ",0,0,0,1,0,0,0,3,9
919,"Oscar Lindberg",NYR,C,-156,1," "," "," "," ",0,0,0,2,0,0,0,3,2
920,"Tyler Graovac",MIN,C,-156,3," "," "," "," ",0,0,0,4,0,0,0,0,6
921,"Colin Smith",COL,C,-156,1," "," "," "," ",0,0,0,1,0,0,0,1,4
922,"Sam Bennett",CGY,C,-156,1," "," "," "," ",0,1,-1,1,0,0,0,0,1
923,"Carter Hutton",NSH,G,-156,21,0.907,2.65,26,2," "," "," "," "," "," "," "," "," "
924,"Tyler Gaudet",ARI,C,-157,2," "," "," "," ",0,0,-1,1,0,0,0,2,9
925,"Scott Wilson",PIT,C,-157,1," "," "," "," ",0,0,0,0,0,0,0,0,0
926,"Henrik Samuelsson",ARI,C,-157,2," "," "," "," ",0,0,-2,3,0,0,0,5,2
927,"Bogdan Yakimov",EDM,C,-157,1," "," "," "," ",0,0,-1,1,0,0,0,2,3
928,"Ryan Craig",CBJ,C,-157,4," "," "," "," ",0,0,-2,3,0,0,0,5,0
929,"Dominik Uher",PIT,C,-157,2," "," "," "," ",0,0,-1,0,0,0,0,2,0
930,"Drew MacIntyre",CAR,G,-157,2,0.923,2,0,0," "," "," "," "," "," "," "," "," "
931,"Chris Driedger",OTT,G,-157,2,1,0,0,0," "," "," "," "," "," "," "," "," "
932,"Patrick Brown",CAR,C,-157,7," "," "," "," ",0,0,-4,4,0,0,0,11,0
933,"Ryan Bourque",NYR,C,-157,1," "," "," "," ",0,0,-1,1,0,0,0,0,0
934,"Brody Sutter",CAR,C,-158,4," "," "," "," ",0,0,-2,0,0,0,0,3,7
935,"Alex Khokhlachev",BOS,C,-158,3," "," "," "," ",0,0,-2,1,0,0,0,1,9
936,"Mike Smith",ARI,G,-158,56,0.91,2.73,20,3," "," "," "," "," "," "," "," "," "
937,"Calvin Pickard",COL,G,-161,9,0.932,2.69,6,2," "," "," "," "," "," "," "," "," "
938,"Ray Emery",PHI,G,-163,30,0.904,2.86,36,5," "," "," "," "," "," "," "," "," "
939,"Philipp Grubauer",WSH,G,-163,7,0.924,2.63,7,0," "," "," "," "," "," "," "," "," "
940,"Viktor Fasth",EDM,G,-169,25,0.904,2.73,26,4," "," "," "," "," "," "," "," "," "
941,"Robin Lehner",BUF,G,-176,26,0.915,3.02,25,1," "," "," "," "," "," "," "," "," "
942,"Ilya Bryzgalov",ANA,G,-177,32,0.9,2.78,32,5," "," "," "," "," "," "," "," "," "
943,"Niklas Backstrom",MIN,G,-178,33,0.901,2.76,34,3," "," "," "," "," "," "," "," "," "
944,"Dustin Tokarski",MTL,G,-182,11,0.915,2.83,8,1," "," "," "," "," "," "," "," "," "
945,"Curtis McElhinney",CBJ,G,-184,31,0.912,2.98,22,2," "," "," "," "," "," "," "," "," "
946,"Michal Neuvirth",PHI,G,-185,23,0.915,2.91,15,0," "," "," "," "," "," "," "," "," "
947,"Jeff Zatkoff",PIT,G,-191,8,0.913,2.89,12,1," "," "," "," "," "," "," "," "," "
948,"Jonas Gustavsson",DET,G,-196,15,0.904,2.78,21,2," "," "," "," "," "," "," "," "," "
949,"Joni Ortio",CGY,G,-208,9,0.899,2.33,8,1," "," "," "," "," "," "," "," "," "
950,"Al Montoya",FLA,G,-216,20,0.908,3.13,22,3," "," "," "," "," "," "," "," "," "
951,"Keith Kinkaid",NJD,G,-218,8,0.918,3.08,6,1," "," "," "," "," "," "," "," "," "
952,"Ben Scrivens",EDM,G,-223,42,0.906,2.95,13,2," "," "," "," "," "," "," "," "," "
953,"Andrey Makarov",BUF,G,-224,2,0.917,3,0,0," "," "," "," "," "," "," "," "," "
954,"Jhonas Enroth",LAK,G,-242,32,0.908,3.07,9,1," "," "," "," "," "," "," "," "," "
955,"Marek Mazanec",NSH,G,-251,15,0.902,2.96,8,2," "," "," "," "," "," "," "," "," "
956,"Louis Domingue",ARI,G,-263,6,0.913,3.25,1,0," "," "," "," "," "," "," "," "," "
957,"Anders Lindback",ARI,G,-267,28,0.901,3.26,24,2," "," "," "," "," "," "," "," "," "
958,"Justin Peters",WSH,G,-267,20,0.901,3.13,14,2," "," "," "," "," "," "," "," "," "
959,"Reto Berra",COL,G,-280,25,0.898,3.03,13,0," "," "," "," "," "," "," "," "," "
960,"Sami Aittokallio",COL,G,-297,2,0.884,2.5,0,0," "," "," "," "," "," "," "," "," "
961,"Joey MacDonald",MTL,G,-298,14,0.899,3.09,5,0," "," "," "," "," "," "," "," "," "
962,"Dan Ellis",WSH,G,-304,19,0.897,3.33,15,3," "," "," "," "," "," "," "," "," "
963,"Rob Zepp",PHI,G,-307,11,0.888,2.78,5,0," "," "," "," "," "," "," "," "," "
964,"Jason LaBarbera",PHI,G,-331,12,0.91,3.75,7,0," "," "," "," "," "," "," "," "," "
965,"Jacob Markstrom",VAN,G,-336,17,0.891,3.19,11,0," "," "," "," "," "," "," "," "," "
966,"Nathan Lieuwen",BUF,G,-340,4,0.906,3.6,1,0," "," "," "," "," "," "," "," "," "
967,"Kevin Poulin",NYI,G,-356,13,0.892,3.39,12,0," "," "," "," "," "," "," "," "," "
968,"Richard Bachman",VAN,G,-360,10,0.898,3.67,9,2," "," "," "," "," "," "," "," "," "
969,"Matt Hackett",ANA,G,-371,6,0.895,3.46,1,0," "," "," "," "," "," "," "," "," "
970,"Mike McKenna",FLA,G,-455,4,0.892,4,1,0," "," "," "," "," "," "," "," "," "
971,"Scott Clemmensen",NJD,G,-491,16,0.884,4.15,9,1," "," "," "," "," "," "," "," "," "
972,"John Curry",MIN,G,-530,3,0.89,4.5,1,0," "," "," "," "," "," "," "," "," "
973,"Anton Forsberg",CBJ,G,-574,6,0.866,4,0,0," "," "," "," "," "," "," "," "," "
974,"Joacim Eriksson",VAN,G,-646,2,0.806,0,0,0," "," "," "," "," "," "," "," "," "
975,"Tyler Bunz",EDM,G,-898,2,0.75,0,0,0," "," "," "," "," "," "," "," "," "
976,"Jussi Rynnas",DAL,G,-993,3,0.86,7,0,0," "," "," "," "," "," "," "," "," "
977,"Malcolm Subban",BOS,G,"-2,090",2,0.5,3,0,0," "," "," "," "," "," "," "," "," "
978,"Sam Brittain",FLA,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
979,"Ryan Lowe",SJS,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
980,"Robb Tallas",FLA,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
981,"Pheonix Copley",STL,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
982,"Oscar Dansk",CBJ,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
983,"Michael Lee",ARI,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
984,"Jordan Binnington",STL,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
985,"Jeremy Smith",BOS,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
986,"Jean-francois Berube",LAK,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
987,"Igor Bobkov",ANA,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
988,"Connor Hellebuyck",WPG,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
989,"Christopher Gibson",NYI,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
990,"Brad Thiessen",CGY,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
991,"Antoine Bibeau",TOR,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
992,"Anthony Stolarz",PHI,G,"-4,273",1,0,0,0,0," "," "," "," "," "," "," "," "," "
